bet,4,"(noun,verb)"
better,86,"(adjective,adverb,noun,verb)"
between,137,"(preposition,adverb)"
beyond,20,"(preposition,noun)"
bicycle,2,"(noun,verb)"
bid,1,"(noun,verb)"
big,59,"(adjective,noun)"
bike,3,"(noun,verb)"
bill,5,"(noun,verb)"
bird,68,(noun)
birth,28,"(noun,verb)"
birthday,1,(noun)
bit,21,"(noun,verb)"
bite,2,"(noun,verb)"
bitter,1,"(noun,adjective)"
black,21,"(noun,verb,adjective,adverb)"
blame,3,"(noun,verb)"
blank,7,"(noun,verb,adjective)"
blind,2,"(noun,verb,adjective,adverb)"
block,6,"(noun,verb)"
blood,14,(noun)
blow,4,"(noun,verb)"
blue,8,"(noun,verb,adjective)"
board,42,"(noun,verb)"
boat,37,"(noun,verb)"
body,69,"(noun,verb)"
bone,6,"(noun,verb,adverb)"
bonus,4,(noun)
book,77,"(noun,verb)"
boot,1,"(noun,verb)"
border,4,"(noun,verb)"
boring,5,(adjective)
born,17,"(verb,adjective,past particple)"
borrow,8,(verb)
boss,48,"(noun,verb,adjective)"
both,91,"(adjective,adverb)"
bother,5,"(noun,verb)"
bottle,2,"(noun,verb)"
bottom,21,"(noun,verb,adjective)"
bowl,12,"(noun,verb)"
box,24,"(noun,verb)"
boy,3,"(noun,interjection)"
boyfriend,33,(noun)
brain,15,"(noun,verb)"
branch,4,"(noun,verb)"
brave,2,"(adjective,noun,verb)"
bread,6,(noun)
break,23,"(verb,noun)"
breakfast,8,"(noun,verb)"
breast,4,"(noun,verb)"
breath,2,(noun)
brick,3,"(noun,verb)"
bridge,12,"(noun,verb)"
brief,5,"(adjective,noun,verb)"
briefly,2,(adverb)
bright,17,"(adjective,adverb,noun)"
brilliant,1,"(adjective,noun)"
bring,31,(verb)
broad,17,"(adjective,noun)"
brother,4,"(noun,interjection)"
brown,13,"(adjective,noun,verb)"
brush,16,"(noun,verb)"
buddy,4,"(noun,verb)"
budget,13,"(noun,adjective,verb)"
bug,1,"(noun,verb)"
build,21,(verb)
building,36,"(noun,verb)"
bunch,4,"(noun,verb)"
burn,10,"(verb,noun)"
bus,25,"(noun,verb)"
business,127,"(noun,adjective)"
busy,7,"(adjective,verb)"
but,626,"(conjunction,preposition,adverb,noun)"
button,15,"(noun,verb)"
buy,42,"(verb,noun)"
buyer,2,(noun)
by,706,"(preposition,adverb)"
cabinet,4,(noun)
cable,2,"(noun,verb)"
cake,5,"(noun,verb)"
calculate,3,(verb)
calendar,6,"(noun,verb)"
call,47,"(verb,noun)"
calm,2,"(adjective,noun,verb)"
camera,32,(noun)
camp,1,"(noun,verb,adjective)"
campaign,12,"(noun,verb)"
can,895,"(auxiliary verb,noun)"
cancel,12,"(verb,noun)"
cancer,8,(noun)
candidate,6,(noun)
candle,2,"(noun,verb)"
candy,1,"(noun,verb)"
cap,6,"(noun,verb)"
capable,12,(adjective)
capital,17,"(noun,adjective)"
car,28,"(noun,adjective)"
card,58,"(noun,verb)"
care,55,"(noun,verb)"
career,20,"(noun,verb,adjective)"
careful,6,(adjective)
carefully,11,(adverb)
carpet,1,"(noun,verb)"
carry,11,"(noun,verb)"
case,38,"(noun,verb)"
